TRACT,YR1999,YR2003,YR2005,YR2008q3,YR2010q4,YR2012q2,YR2013q3,YR2013q4,YR2018Q1,YR2018Q4,FIP
101100,161750,320000,496000,0,0,0,0,0,0,0,06037101100
101200,95718,229000,347000,0,0,0,0,0,0,0,06037101200
101300,195000,371000,527500,480000,435000,429500,500000,420000,591500,687500,06037101300
101400,168000,417500,467500,398000,313000,482500,357500,311000,551500,700000,06037101400
102101,219000,446000,606500,525000,337000,0,0,0,0,0,06037102101
102102,174000,350000,475000,437500,350000,0,0,0,0,0,06037102102
103101,168000,330000,482000,380000,350000,317500,402500,415000,600000,575000,06037103101
103102,133000,310000,452500,365000,302000,286500,340000,398000,532500,520000,06037103102
103200,186000,356500,535000,427500,352500,300000,450000,425000,651000,647500,06037103200
103300,285000,475000,694500,528750,450000,457500,613750,626500,875000,900000,06037103300
103400,140500,310378,477000,365000,315000,348750,340500,370000,629500,572500,06037103400
104101,135500,285000,420000,0,0,0,0,0,0,0,06037104101
104102,106025,175000,345000,0,0,0,0,0,0,0,06037104102
104201,104500,260000,405000,250000,220000,247000,325000,311500,431500,537500,06037104201
104202,72500,252000,371000,342295,235000,0,0,0,0,0,06037104202
104300,114500,257000,395818,0,0,0,0,0,0,0,06037104300
104401,121250,232500,425000,223750,235000,235000,205000,320000,430000,420000,06037104401
104402,88000,247500,405000,225000,207500,0,0,0,0,0,06037104402
104500,100768,255500,415000,270000,248000,280000,340000,336000,444000,487500,06037104500
104600,105000,244000,390000,0,0,0,0,0,0,0,06037104600
104701,134898,226000,376000,155000,162250,201000,275000,190000,425000,495000,06037104701
104702,79250,260000,325000,194000,175000,0,0,0,0,0,06037104702
104800,131000,259432,425000,0,0,0,0,0,0,0,06037104800
106000,185000,293000,447000,0,0,0,0,0,0,0,06037106000
106102,124000,258000,429500,0,0,0,0,0,0,0,06037106102
106111,153500,334000,479000,360000,320750,295000,397500,370000,525000,579000,06037106111
106112,122926,227500,450000,335000,265000,266000,360000,350000,515000,482500,06037106112
106401,103000,220000,342000,0,0,0,0,0,0,0,06037106401
106402,111250,317500,476500,318000,294500,0,0,0,0,0,06037106402
106500,169812,355000,495000,0,0,0,0,0,0,0,06037106500
106601,155000,300000,475000,0,0,0,0,0,0,0,06037106601
106602,250000,415000,617500,425000,466000,0,0,0,0,0,06037106602
106603,310000,505000,710000,605000,464000,465000,595000,605000,735000,730000,06037106603
106641,230000,520000,700000,591000,510000,440000,590000,569750,785000,716500,06037106641
106642,236136,409000,600000,534000,445000,435000,563000,586500,592500,723500,06037106642
